label,timed,warmup,trace_id,process_ms,before_root_ms,root_ms,after_root_ms,cargo_exec_ms,non_exec_process_ms,query_count,spans,declared_engine_spans,received_engine_spans,gate_exit,replay_drift,complete_expected_execs
library-1-after-messages,False,False,5605a9f870c340ca6cdcee2f10d86171,806.860775,27.802581,767.758466,11.303375,0,806.860775,12,184,163,163,0,-0.1%,True
library-2-after,True,False,7a91eb525bce76be9f8656fb855a756f,1511.218246,27.943886,1473.322721,9.956251,255.334888,1255.8833579999998,30,524,503,503,0,-0.1%,True
library-2-before,True,False,aec1625e5f68b7c3e2dbe3f33093131b,3119.148806,28.044268,3080.361198,10.747573,279.657069,2839.4917370000003,30,533,512,512,0,-0.0%,True
library-2-before-messages,False,False,a3c367a12baafe669380396286524490,731.055825,28.558149,691.306914,11.195803,0,731.055825,12,184,163,163,0,-0.1%,True
library-2-after-messages,False,False,915b4302ee16577957f33acd7b60d504,794.172856,27.504638,754.405985,12.265275,0,794.172856,12,184,163,163,0,-0.1%,True
library-3-before,True,False,1e7ea94d9c02eeb5cad42a31dae37026,3110.014238,27.597562,3070.951337,11.473995,273.238853,2836.7753850000004,30,533,512,512,0,-0.0%,True
library-3-after,True,False,b249b935c58c754053791868bbe3f912,1519.368469,28.559825,1478.426313,12.385979,269.985602,1249.382867,30,524,503,503,0,-0.1%,True
library-3-before-messages,False,False,ecb912274c8928a7ec40af5c277ed17f,737.982986,28.954061,698.817105,10.215384,0,737.982986,12,184,163,163,0,-0.1%,True
library-3-after-messages,False,False,3ac1e8bc3847563699480a38995c3e76,704.91585,26.399645,665.898064,12.622476,0,704.91585,12,184,163,163,0,-0.0%,True
library-4-after,True,False,1724cd3c99b45eaa3521304f461e4fb6,1742.370679,28.196166,1701.813278,12.366494,282.409812,1459.9608670000002,30,524,503,503,0,-0.1%,True
library-4-before,True,False,d76d7ac0f31733b7683d786ae1b31ee4,3144.362096,31.461271,3100.689682,12.215987,273.525936,2870.83616,30,533,512,512,0,-0.0%,True
library-4-before-messages,False,False,0bf5f7b2f9ab443bf631ef1e08546367,814.138421,27.732994,776.589451,9.820833,0,814.138421,12,184,163,163,0,-0.0%,True
library-4-after-messages,False,False,54916de3fce895a47c544b0b097169e7,851.250881,26.831917,812.818906,11.603947,0,851.250881,12,184,163,163,0,-0.0%,True
library-5-before,True,False,14d91f87656563d083e6df8722f5681e,3091.452281,26.554473,3053.63213,11.268903,255.309388,2836.1428929999997,30,533,512,512,0,-0.0%,True
library-5-after,True,False,af684a0692db30a6d6483aabdb18de86,1725.240153,28.399323,1686.191927,10.653275,264.00574,1461.234413,30,524,503,503,0,-0.1%,True
library-5-before-messages,False,False,572347c794942bd0f398a1c1d97f6c18,923.760401,27.130823,885.002306,11.631124,0,923.760401,12,184,163,163,0,-0.0%,True
library-5-after-messages,False,False,9b2b3cf7cbb61853f61ef2b033a4217e,829.560772,27.269547,790.028177,12.266548,0,829.560772,12,184,163,163,0,-0.0%,True
library-6-before,True,False,b7b19e43b25877cdb24648be87672529,3071.006042,26.436509,3032.614335,11.960167,274.057229,2796.948813,30,533,512,512,0,-0.0%,True
library-6-after,True,False,b0e8d8d116a91b1bdddd898a535f5c19,1709.434166,26.966833,1671.021307,11.449876,254.136641,1455.297525,30,523,0,503,1,-0.1%,False
library-6-before-messages,False,False,ea663ee873ac53ffa4e6523ade5666c8,847.350557,27.95566,790.627132,28.772165,0,847.350557,12,184,163,163,0,-0.0%,True
library-6-after-messages,False,False,c1a5391ae6eae9450e31d19aca16c54e,818.253969,29.097466,776.99781,12.163247,0,818.253969,12,184,163,163,0,-0.0%,True
library-7-after,True,False,4c073d9562b7afeb2988e8a7ebc6de0b,1747.119212,26.993328,1709.58307,10.547324,261.148963,1485.970249,30,523,0,503,1,-0.1%,False
library-7-before,True,False,15dfb1d79ed68543accf6a33ebf4b04c,2974.806403,27.842098,2934.927713,12.040285,241.661734,2733.1446690000002,30,533,512,512,0,-0.0%,True
library-7-before-messages,False,False,ccee8ade3aa98ca7f5fb725619d0171f,753.287792,27.166886,715.251135,10.874555,0,753.287792,12,184,163,163,0,-0.1%,True
library-7-after-messages,False,False,38c8dd893b4b5d3d6fb6f55f3f48a5b0,809.775555,26.838815,771.686816,11.254582,0,809.775555,12,184,163,163,0,-0.0%,True
library-8-after,True,False,cd691a56b5b5d3d6c911d1ecadfe390e,1631.056779,29.967281,1589.669311,11.424087,278.014554,1353.0422250000001,30,524,503,503,0,-0.1%,True
library-8-before,True,False,67907c6207e032901275e216c4853f26,3166.098324,27.398644,3128.883509,9.820283,259.867294,2906.23103,30,533,512,512,0,-0.0%,True
library-8-before-messages,False,False,1738a9d63cd8b4c669e8f8d241d2446a,710.340721,26.659924,670.980842,12.703272,0,710.340721,12,184,163,163,0,-0.0%,True
library-8-after-messages,False,False,6225aa20a4fc7870babbbe8637d3c3c1,825.793269,27.146414,786.197786,12.453065,0,825.793269,12,184,163,163,0,-0.0%,True
library-9-before,True,False,913041ccf6bcdef60c6e55569db91f26,3299.462425,27.694662,3261.358097,10.414558,272.263134,3027.1992910000004,30,533,512,512,0,-0.0%,True
library-9-after,True,False,c579b6a91881e458ebe042f2bb83aa41,1670.379069,29.27131,1629.75199,11.360865,269.220226,1401.1588430000002,30,524,503,503,0,-0.1%,True
library-9-before-messages,False,False,8c02c732b62caa3c3f21cd5d0ace495e,888.971261,32.75358,846.380428,9.840257,0,888.971261,12,184,163,163,0,-0.0%,True
